lane,shipment_count,total_emissions,average_emissions,average_utilization,average_transit_time_hrs,average_speed_kmph,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Bilaspur - Ludhiana,2,1888.1,944.05,77.3110636019402,31.4,60,0.07295,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Madurai,1,1053,1053,66.3652554546078,36.6,62,0.3113,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Bilaspur - Mangalore,3,3357.8,1119.26666666667,64.2579549974659,34.1333333333333,60.3333333333333,0.146633333333333,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Mumbai,2,1593.5,796.75,41.2043851158281,30,56,0.19465,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Bilaspur - Nashik,3,2225.4,741.8,72.00764513459,25.0333333333333,57,0.1577,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Noida,2,1585.6,792.8,46.2992351713021,26.6,51.5,0.08295,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Bilaspur - Panipat,1,912.8,912.8,73.6985848332132,26.6,60,0.0786,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Patna,4,1784.1,446.025,69.7863098895923,16.25,52.75,0.11485,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Prayagraj,1,354.8,354.8,44.6358913023621,12.9,53,0.0977,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Bilaspur - Pune,3,2966.1,988.7,72.6805456131711,30.3,50,0.2694,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Bilaspur - Raipur,1,110.4,110.4,92.3935941859369,5.9,42,0.0547,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Rajkot,1,1063.4,1063.4,87.0803937802244,32.8,57,0.0611,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Ranchi,6,2021.8,336.966666666667,74.2917271098741,12.7333333333333,51.6666666666667,0.27475,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Bilaspur - Rohtak,1,818.4,818.4,59.8427469767288,25,60,0.1555,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Salem,2,2084.9,1042.45,70.2461093953511,32.7,61,0.1429,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Sonipat,1,776.9,776.9,85.6885279968794,25.3,58,0.0927,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Surat,3,3086.3,1028.76666666667,69.4262681673205,31.2666666666667,50.6666666666667,0.0715333333333333,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Thiruvananthapuram,1,1621.7,1621.7,68.0296778359984,43.9,57,0.0741,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Bilaspur - Trichy,3,3342.8,1114.26666666667,72.6308630038043,35.6,58.6666666666667,0.088,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Vadodara,1,746.9,746.9,75.98499075817,25.3,58,0.0693,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Varanasi,3,987.1,329.033333333333,81.142461791476,12.8333333333333,52.6666666666667,0.0916333333333333,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Vijayawada,2,1145,572.5,61.2258880700694,19.75,54,0.1352,Normal,Monitor lane performance and maintain current operating plan
Bilaspur - Visakhapatnam,1,428.8,428.8,69.5050266210106,16.3,53,0.0748,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Agra,1,407.9,407.9,84.8260608673418,13.6,55,0.3557,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Ahmedabad,3,2564.6,854.866666666667,68.5974729093026,28.2333333333333,53.6666666666667,0.118366666666667,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Amritsar,2,379.6,189.8,89.0565134764344,7.5,55,0.1473,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Aurangabad,1,1061,1061,60.4389165268562,31.9,62,0.2616,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Bilaspur,3,2863.3,954.433333333333,72.4459752769726,29.4333333333333,61.3333333333333,0.1114,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Chennai,3,5975.7,1991.9,64.3109238966424,59.1666666666667,51.3333333333333,0.0704333333333333,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Coimbatore,1,1894.8,1894.8,98.707314274069,56.3,60,0.0974,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Delhi,1,211.5,211.5,99.4226457761648,8.1,53,0.078,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Durgapur,2,2309.4,1154.7,59.9199574053487,37,56,0.05585,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Faridabad,1,203.8,203.8,47.199943726104,9.8,55,0.6496,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Ghaziabad,2,377.2,188.6,60.5127643338151,8.2,55,0.23385,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Gurgaon,1,253.4,253.4,67.0668458633893,9.7,53,0.0953,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Guwahati,2,2314.4,1157.2,42.0511385674233,40.7,60,0.0649,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Gwalior,2,965.6,482.8,91.1352907905836,16.4,55,0.19275,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Hubli,2,3393.4,1696.7,67.3260726647001,49.2,54.5,0.1834,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Hyderabad,2,2453.5,1226.75,76.5050865387638,41.6,57,0.39765,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Indore,1,901.7,901.7,93.1712977239706,26.2,55,0.1345,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Jabalpur,2,1409.1,704.55,91.0805611358633,24,60,0.12905,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Jalandhar,2,255.1,127.55,75.3549071381114,6.3,46.5,0.1753,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Kanpur,3,1637.4,545.8,72.6949487177262,18.3666666666667,54.3333333333333,0.243666666666667,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Kolkata,1,1269.1,1269.1,69.0538644326471,42,55,0.0759,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Kota,1,574.9,574.9,56.9648537486143,19,55,0.1345,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Ludhiana,3,241,80.3333333333333,56.2698735761223,5.23333333333333,45,0.0702333333333333,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Madurai,1,1756.7,1756.7,41.4125769358478,59.3,60,0.0777,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Chandigarh - Mangalore,1,1417.9,1417.9,42.2422985263682,50.1,62,0.1654,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Chandigarh - Mumbai,1,1219.7,1219.7,92.8028123521492,39.1,55,0.0877,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Nagpur,1,1173.6,1173.6,84.8830996317911,35.3,49,0.0443,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Nashik,4,4294.5,1073.625,72.8131229214027,34.225,57.5,0.0855,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Noida,1,239.8,239.8,70.569808185573,10,50,0.0692,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Panipat,2,254.8,127.4,53.959808143512,6.8,46.5,0.18575,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Patna,1,891.5,891.5,82.1452306933703,29.8,55,0.1173,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Raipur,3,2940.6,980.2,63.2943178783926,32.2666666666667,58,0.0631333333333333,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Rajkot,3,2725.5,908.5,72.2887813254054,29.6333333333333,61.3333333333333,0.178366666666667,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Salem,2,3865.2,1932.6,78.6366486463477,57.15,57,0.0704,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Siliguri,2,2000.6,1000.3,79.5290459817757,32.7,60,0.0822,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Sonipat,1,237.4,237.4,88.3631378258656,9.2,38,0.0364,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Surat,2,1895.8,947.9,35.9494410853973,32.95,56,0.09745,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Thiruvananthapuram,1,2498.6,2498.6,88.1051979802226,68.7,54,0.0386,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Tirupati,3,4877.6,1625.86666666667,69.9105870750501,48.4,62,0.2015,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Trichy,2,3543.3,1771.65,97.376886652901,55.6,62,0.13805,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chandigarh - Vadodara,2,1706.3,853.15,61.584468895022,27.6,60,0.08675,Normal,Monitor lane performance and maintain current operating plan
Chandigarh - Varanasi,1,756.4,756.4,66.3004712674755,23,60,0.7198,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chandigarh - Vijayawada,1,1269.5,1269.5,59.0994029901938,42.7,60,0.0637,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chandigarh - Visakhapatnam,1,1449.1,1449.1,87.4175518020746,43.5,57,0.0553,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Amritsar,2,4733.2,2366.6,82.1615800986726,65.55,49.5,0.0638,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Aurangabad,3,2420.8,806.933333333333,95.7921528424754,27.0666666666667,54.3333333333333,0.2382,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Bangalore,1,254.4,254.4,73.7686104050929,12.3,47,0.1226,Normal,Monitor lane performance and maintain current operating plan
Chennai - Belgaum,2,1204.4,602.2,76.245834152385,21.5,53,0.0881,Normal,Monitor lane performance and maintain current operating plan
Chennai - Bhopal,1,1056.2,1056.2,52.4570054296612,35.9,52,0.0695,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Bilaspur,3,2892.6,964.2,62.9939982367335,31.2666666666667,53,0.0793666666666667,Normal,Monitor lane performance and maintain current operating plan
Chennai - Chandigarh,4,7337.6,1834.4,73.6138294334161,56.525,54.25,0.165925,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Coimbatore,3,1175.9,391.966666666667,59.1579947192909,14.4666666666667,52.3333333333333,0.282,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Delhi,1,1705,1705,59.7235224187062,53.9,50,0.045,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Durgapur,2,2688.3,1344.15,95.9533606483633,41.25,52.5,0.0782,Normal,Monitor lane performance and maintain current operating plan
Chennai - Faridabad,2,3192.2,1596.1,79.1400814540781,50.25,53.5,0.10315,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Ghaziabad,1,1425.6,1425.6,40.8985470304715,49.6,55,0.0792,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Chennai - Guntur,1,271.7,271.7,38.5871996262377,12.2,55,0.1733,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Gurgaon,3,4857.9,1619.3,74.9728500615269,49.6,54.6666666666667,0.115133333333333,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Guwahati,2,3436.6,1718.3,77.0988126798622,54.3,53.5,0.08365,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Gwalior,2,2539,1269.5,68.4571200738497,42.3,55,0.08285,Normal,Monitor lane performance and maintain current operating plan
Chennai - Hubli,1,530.5,530.5,100,18.7,55,0.5129,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Hyderabad,3,1619,539.666666666667,79.365225250192,20.3333333333333,43,0.1203,Normal,Monitor lane performance and maintain current operating plan
Chennai - Jabalpur,1,1113.2,1113.2,86.2096887023834,32.2,57,0.2603,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Jaipur,5,7069.8,1413.96,71.5313954054484,45.34,55.6,0.1868,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Kanpur,1,1381,1381,65.15282691604,44.5,52,0.0689,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Kochi,3,1404.9,468.3,67.4186492406707,17.7333333333333,53.6666666666667,0.113533333333333,Normal,Monitor lane performance and maintain current operating plan
Chennai - Kolkata,3,3495.6,1165.2,65.9146949551983,39.5,54.6666666666667,0.135866666666667,Normal,Monitor lane performance and maintain current operating plan
Chennai - Kota,3,4596.5,1532.16666666667,61.9325439373615,44.6,50,0.0926,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Ludhiana,4,7226.6,1806.65,68.0010329733943,56.65,55.25,0.1159,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Madurai,2,655.7,327.85,52.6383501783786,13.8,55,0.5115,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Mangalore,2,1116.2,558.1,67.582506694273,18.1,55,0.37,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Mumbai,1,990.8,990.8,57.492325701619,33.1,50,0.0448,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Nagpur,1,770,770,67.1139000705655,27.2,53,0.0689,Normal,Monitor lane performance and maintain current operating plan
Chennai - Nashik,1,957,957,98.707314274069,30.8,55,0.1044,Normal,Monitor lane performance and maintain current operating plan
Chennai - Noida,3,4610.4,1536.8,66.2480106837387,49.9666666666667,54.3333333333333,0.114166666666667,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Patna,1,1249.4,1249.4,92.2885975160361,41.2,57,0.1933,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Prayagraj,1,1321.7,1321.7,69.8986586294457,38.8,57,0.3552,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Pune,1,805.8,805.8,76.2955245862676,27.4,53,0.1094,Normal,Monitor lane performance and maintain current operating plan
Chennai - Raipur,2,1699.7,849.85,47.850131144654,28.25,51.5,0.07975,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Rajkot,1,1460,1460,99.729039842658,43.1,52,0.0708,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Ranchi,3,3215.6,1071.86666666667,40.3069903048578,37.8,53,0.0989666666666667,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Salem,1,343.6,343.6,37.8931119738877,12.5,40,0.0445,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Chennai - Siliguri,1,1496.2,1496.2,72.6401117898411,49.1,55,0.0751,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Sonipat,1,1898.2,1898.2,75.5214630810877,55.8,49,0.0404,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Chennai - Surat,2,2120.7,1060.35,85.3854486193683,35,55,0.0981,Normal,Monitor lane performance and maintain current operating plan
Chennai - Thiruvananthapuram,2,1128.2,564.1,72.8439698648901,20.05,51.5,0.0652,Normal,Monitor lane performance and maintain current operating plan
Chennai - Tirupati,3,304.5,101.5,67.9714015299185,7.13333333333333,38.6666666666667,0.1546,Normal,Monitor lane performance and maintain current operating plan
Chennai - Trichy,3,877.1,292.366666666667,80.6394395079293,11.2333333333333,52,0.0970333333333334,Normal,Monitor lane performance and maintain current operating plan
Chennai - Udaipur,1,1372.2,1372.2,72.375436405619,43.6,52,0.0677,Normal,Monitor lane performance and maintain current operating plan
Chennai - Vadodara,2,2335.9,1167.95,42.4670090212992,36.4,56,0.40075,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Chennai - Visakhapatnam,1,472.5,472.5,60.6324166499514,18.5,55,0.1302,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Agra,1,1390.1,1390.1,76.9358873820978,45.6,62,0.1376,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Ahmedabad,2,2537.1,1268.55,79.5840943130823,41,54.5,0.09705,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Amritsar,2,3634.8,1817.4,38.2001483905816,58.2,61,0.11645,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Coimbatore - Aurangabad,2,1820.8,910.4,86.9233006810526,27.5,60,0.1071,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Bangalore,1,206.3,206.3,46.6364328202302,7.9,55,0.2109,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Belgaum,4,2337.4,584.35,85.8200219252679,19.75,50.5,0.300675,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Bilaspur,1,1209.9,1209.9,50.6694706726925,35.9,60,0.0949,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Coimbatore - Chandigarh,1,2186.2,2186.2,97.0672761895032,56.3,60,0.1327,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Chennai,2,796,398,83.1542376568644,14.6,51.5,0.0784,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Delhi,2,3380.1,1690.05,82.4987331607414,54.3,56,0.1106,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Durgapur,2,2647.3,1323.65,55.0791108563207,45.5,61,0.0885,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Coimbatore - Faridabad,1,1926.7,1926.7,88.4669596620469,52.7,57,0.142,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Ghaziabad,3,5481.6,1827.2,73.9795042937191,55.4,54.6666666666667,0.123366666666667,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Guntur,1,683.3,683.3,88.3595128847867,19.7,58,0.1023,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Gurgaon,1,2019.1,2019.1,51.7515130500208,56.9,52,0.0823,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Coimbatore - Guwahati,1,1801.8,1801.8,85.7264282848467,57.1,62,0.4157,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Gwalior,4,5688.8,1422.2,62.7298412927677,44.8,59.25,0.10095,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Hyderabad,1,695.8,695.8,70.5215614127123,21.8,55,0.2979,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Indore,4,5860.3,1465.075,62.1215491023865,42.65,48.25,0.143925,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Jabalpur,3,3799.1,1266.36666666667,71.5133156717916,38.4666666666667,57.6666666666667,0.236266666666667,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Jaipur,1,1573.2,1573.2,45.920886542985,52.3,52,0.0692,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Coimbatore - Jalandhar,1,2091.5,2091.5,71.2800707039206,62.3,55,0.0521,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Kochi,1,121.4,121.4,67.8175969075082,6.5,47,0.0902,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Kolkata,1,1719.5,1719.5,41.5634423088832,54.8,49,0.0413,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Coimbatore - Lucknow,2,3175.5,1587.75,67.7311717049304,49.5,57,0.3573,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Ludhiana,5,9288.4,1857.68,60.5841155052534,57.82,58.8,0.14758,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Madurai,1,158.7,158.7,93.681670793386,7.4,47,0.0832,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Mangalore,3,873.2,291.066666666667,72.9806743216416,11.6,50.3333333333333,0.0629333333333333,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Mumbai,1,966.3,966.3,75.9486152434169,29,57,0.5123,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Nashik,1,856.6,856.6,100,28.1,62,0.6733,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Noida,1,1523.6,1523.6,58.7759243466635,53,57,0.3862,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Coimbatore - Patna,2,4355.2,2177.6,69.5067342528273,60.7,45.5,0.0456,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Prayagraj,1,1310,1310,58.476205075708,44,60,0.0768,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Coimbatore - Rajkot,1,1105.2,1105.2,81.9707881093658,36.6,62,0.2296,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Rohtak,1,1517.4,1517.4,78.4125672583715,50,62,0.1075,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Salem,4,570,142.5,81.1278207234456,6.85,45.5,0.107775,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Sonipat,1,1733.4,1733.4,65.15282691604,53.8,57,0.0643,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Surat,1,1597.8,1597.8,66.7935566954902,43.9,42,0.048,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Coimbatore - Trichy,2,337.2,168.6,63.5548123908945,7.7,49,0.3433,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Udaipur,3,3854.3,1284.76666666667,53.4072885410367,40.0333333333333,61.3333333333333,0.2273,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Coimbatore - Vadodara,2,2679.2,1339.6,67.0340192541837,39,53.5,0.0553,Normal,Monitor lane performance and maintain current operating plan
Coimbatore - Varanasi,2,3112.4,1556.2,48.9458635126938,46.7,57,0.07455,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Delhi - Agra,1,175.5,175.5,70.4284027864211,9.7,39,0.0853,Normal,Monitor lane performance and maintain current operating plan
Delhi - Amritsar,1,370.3,370.3,45.841650228709,13.3,53,0.1135,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Delhi - Bangalore,1,1787.4,1787.4,76.5871629569402,49.4,55,0.1142,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Delhi - Belgaum,6,8966.1,1494.35,71.4768405956154,43.6833333333333,52.5,0.10675,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Delhi - Bhopal,1,605.1,605.1,89.3659656228849,18.6,55,0.2031,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Delhi - Chandigarh,2,451.6,225.8,77.7264103191786,8.25,51.5,0.09,Normal,Monitor lane performance and maintain current operating plan
Delhi - Chennai,2,3766.5,1883.25,71.5886291202715,53.15,51.5,0.092,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Delhi - Coimbatore,2,3686.1,1843.05,74.2095042867712,57,53,0.088,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Delhi - Durgapur,5,5450.6,1090.12,79.0383335114228,34.3,55.2,0.22012,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Delhi - Faridabad,2,95.9,47.95,86.9047657094935,5.05,31.5,0.0444,Normal,Monitor lane performance and maintain current operating plan
Delhi - Ghaziabad,3,105.2,35.0666666666667,58.9523699784239,4.73333333333333,36,0.108166666666667,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Delhi - Guntur,4,4977,1244.25,72.4956922169512,41,54.75,0.1932,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Delhi - Gurgaon,1,28.9,28.9,75.9486152434169,4.4,41,0.5459,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Delhi - Guwahati,2,2827.4,1413.7,63.6703903004239,43.15,53.5,0.0939,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Delhi - Gwalior,1,391,391,82.5185791019991,12.6,42,0.0427,Normal,Monitor lane performance and maintain current operating plan
Delhi - Hubli,1,1341.5,1341.5,83.8346279060634,42.8,55,0.0944,Normal,Monitor lane performance and maintain current operating plan
Delhi - Hyderabad,4,4797,1199.25,77.8437484621211,37.525,53.75,0.09555,Normal,Monitor lane performance and maintain current operating plan
Delhi - Jabalpur,3,1933.7,644.566666666667,69.9602375503706,21,53.3333333333333,0.281766666666667,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Delhi - Jaipur,1,341.2,341.2,75.7670096548252,12.8,32,0.0527,Normal,Monitor lane performance and maintain current operating plan
Delhi - Jalandhar,1,262.9,262.9,71.8722406765251,11.3,55,0.1092,Normal,Monitor lane performance and maintain current operating plan
